longitude,latitude,sp1,sp2,sp3,wc1,wc2,wc3,wc4,wc5,wc6,wc7,wc8,wc9,wc10,wc11,wc12,wc13,wc14,wc15,wc16,wc17,wc18,wc19,lc1,lc2,lc3,lc4,lc5,lc6,lc7,lc8,lc9,lc10
-79.91666666666667,44.083333333333336,1.0,1.0,1.0,6.354833,10.063083,26.508482,1022.569,25.845,-12.11675,37.96175,17.995792,-6.014625,18.475542,-6.408708,832.0,82.0,50.0,17.172554,240.0,159.0,238.0,168.0,1.0,36.0,21.0,0.0,2.0,0.0,33.0,6.0,0.0,0.0
-79.91666666666667,44.25,1.0,1.0,,6.406229,10.034125,26.34614,1028.687,25.94875,-12.137,38.08575,18.096624,-1.8814583,18.606125,-6.4049582,860.0,87.0,53.0,16.01986,245.0,169.0,240.0,185.0,1.0,24.0,20.0,0.0,2.0,0.0,47.0,7.0,0.0,0.0
-79.91666666666667,44.416666666666664,1.0,1.0,1.0,6.4011145,9.984521,26.255192,1029.7803,25.7405,-12.28825,38.028748,8.895208,-1.8634167,18.600626,-6.4533334,910.0,94.0,54.0,15.802827,262.0,175.0,237.0,217.0,0.0,36.0,19.0,0.0,2.0,0.0,40.0,2.0,0.0,5.0
-79.91666666666667,44.583333333333336,1.0,1.0,,6.196781,9.721521,25.755785,1031.0322,25.23875,-12.50625,37.745003,-3.2155836,-2.1007917,18.4185,-6.6675,962.0,98.0,56.0,16.569756,281.0,184.0,235.0,246.0,0.0,37.0,17.0,0.0,2.0,0.0,35.0,4.0,4.0,2.0
-79.91666666666667,44.75,1.0,1.0,1.0,6.1172085,9.32325,24.920315,1033.8381,24.8275,-12.58475,37.41225,-3.3915,-2.1390834,18.332666,-6.8284583,1025.0,107.0,62.0,18.024933,313.0,197.0,236.0,277.0,0.0,10.0,15.0,0.0,2.0,0.0,46.0,8.0,19.0,1.0
-79.91666666666667,44.916666666666664,1.0,1.0,1.0,6.1415105,8.911021,24.266825,1017.56854,24.31225,-12.40875,36.721,-2.9200833,-2.2855415,18.175917,-6.5002084,1030.0,111.0,64.0,19.867098,324.0,199.0,227.0,290.0,0.0,0.0,6.0,0.0,2.0,0.0,34.0,1.0,58.0,3.0
-79.91666666666667,45.083333333333336,1.0,1.0,,5.830948,9.094396,24.274054,1040.7874,24.17225,-13.29325,37.4655,-3.8225,-2.3686666,18.086834,-7.3175836,1060.0,119.0,67.0,20.774632,334.0,209.0,225.0,301.0,0.0,0.0,12.0,0.0,4.0,0.0,71.0,0.0,12.0,3.0
-79.91666666666667,45.25,1.0,1.0,1.0,5.5663023,9.247146,24.453484,1049.0874,23.916,-13.89925,37.81525,1.5121667,-2.5017917,17.880709,-7.785042,1079.0,123.0,66.0,21.242542,341.0,220.0,221.0,305.0,0.0,0.0,12.0,0.0,3.0,0.0,73.0,0.0,11.0,3.0
-79.91666666666667,45.416666666666664,,1.0,,5.228781,9.373855,24.54708,1058.687,23.68825,-14.499,38.18725,1.0176251,-2.7988334,17.637041,-8.293667,1080.0,118.0,69.0,20.08315,338.0,220.0,226.0,294.0,0.0,1.0,12.0,0.0,4.0,0.0,75.0,0.0,8.0,3.0
-79.91666666666667,45.583333333333336,1.0,1.0,,4.9668856,9.490188,24.561798,1070.3915,23.57525,-15.06275,38.638,7.4087496,-3.0643332,17.501791,-8.747708,1051.0,111.0,68.0,18.495975,323.0,208.0,232.0,268.0,0.0,1.0,16.0,0.0,5.0,0.0,71.0,0.0,7.0,2.0
