variable,type,full_name,description
sp1,species,Vulpes_vulpes,Red Fox
sp2,species,Tamias_striatus,Eastern Chipmunk
sp3,species,Marmota_monax,Groundhog
wc1,climate,temperature_annual_mean,Annual Mean Temperature (°C)
wc2,climate,temperature_diurnal_range,Mean Diurnal Range (Mean of monthly (max temp - min temp)) (°C)
wc3,climate,temperature_isothermality,Isothermality (BIO2/BIO7) (* 100) (°C)
wc4,climate,temperature_seasonality,Temperature Seasonality (standard deviation *100) (°C)
wc5,climate,temperature_max_warmest_month,Max Temperature of Warmest Month (°C)
wc6,climate,temperature_min_coldest_month,Min Temperature of Coldest Month (°C)
wc7,climate,temperature_annual_range,Temperature Annual Range (BIO5-BIO6) (°C)
wc8,climate,temperature_mean_wettest_quarter,Mean Temperature of Wettest Quarter (°C)
wc9,climate,temperature_mean_driest_quarter,Mean Temperature of Driest Quarter (°C)
wc10,climate,temperature_mean_warmest_quarter,Mean Temperature of Warmest Quarter (°C)
wc11,climate,temperature_mean_coldest_quarter,Mean Temperature of Coldest Quarter (°C)
wc12,climate,precipitation_annual_mean,Annual Precipitation (mm)
wc13,climate,precipitation_wettest_month,Precipitation of Wettest Month (mm)
wc14,climate,precipitation_driest_month,Precipitation of Driest Month (mm)
wc15,climate,precipitation_seasonality,Precipitation Seasonality (Coefficient of Variation) (mm)
wc16,climate,precipitation_wettest_quarter,Precipitation of Wettest Quarter (mm)
wc17,climate,precipitation_driest_quarter,Precipitation of Driest Quarter (mm)
wc18,climate,precipitation_warmest_quarter,Precipitation of Warmest Quarter (mm)
wc19,climate,precipitation_coldest_quarter,Precipitation of Warmest Quarter (mm)
lc1,landcover,bare,Bare land cover (%)
lc2,landcover,crops,Crops land cover (%)
lc3,landcover,grass,Grass land cover (%)
lc4,landcover,moss,Moss land cover (%)
lc5,landcover,shrub,Shrub land cover (%)
lc6,landcover,snow,Snow land cover (%)
lc7,landcover,tree,Tree land cover (%)
lc8,landcover,urban,Urban land cover (%)
lc9,landcover,water_permanent,Permanent water land cover (%)
lc10,landcover,water_seasonal,Seasonal water land cover (%)
