key,name,dataset,published_in,observed_in,latitude,longitude,date,rank,observer,license,kingdom,phylum,class,order,family,genus,species
3017947133,Vulpes vulpes,iNaturalist research-grade observations,US,CA,45.519315,-73.531549,2021-01-06T03:42:31.0,SPECIES,Alex Gutjahr,http://creativecommons.org/licenses/by-nc/4.0/legalcode,Animalia,Chordata,Mammalia,Carnivora,Canidae,Vulpes,Vulpes vulpes
3018052900,Vulpes vulpes,iNaturalist research-grade observations,US,US,44.035153,-73.423142,2021-01-03T08:57:00.0,SPECIES,richardlitt,http://creativecommons.org/licenses/by-nc/4.0/legalcode,Animalia,Chordata,Mammalia,Carnivora,Canidae,Vulpes,Vulpes vulpes
3018098884,Vulpes vulpes,iNaturalist research-grade observations,US,CA,44.474996,-78.298077,2021-01-01T15:33:58.0,SPECIES,pennypierce,http://creativecommons.org/licenses/by-nc/4.0/legalcode,Animalia,Chordata,Mammalia,Carnivora,Canidae,Vulpes,Vulpes vulpes
3018143153,Vulpes vulpes,iNaturalist research-grade observations,US,CA,44.085071,-77.241731,2021-01-06T00:00:00.0,SPECIES,Connor,http://creativecommons.org/licenses/by-nc/4.0/legalcode,Animalia,Chordata,Mammalia,Carnivora,Canidae,Vulpes,Vulpes vulpes
3031681364,Vulpes vulpes,iNaturalist research-grade observations,US,CA,45.507451,-75.337894,2021-01-01T00:00:00.0,SPECIES,kevinwallace,http://creativecommons.org/licenses/by-nc/4.0/legalcode,Animalia,Chordata,Mammalia,Carnivora,Canidae,Vulpes,Vulpes vulpes
3031712519,Vulpes vulpes,iNaturalist research-grade observations,US,CA,44.207416,-76.341166,2021-01-21T15:39:59.0,SPECIES,Laura Staley,http://creativecommons.org/licenses/by-nc/4.0/legalcode,Animalia,Chordata,Mammalia,Carnivora,Canidae,Vulpes,Vulpes vulpes
3031713485,Vulpes vulpes,iNaturalist research-grade observations,US,US,44.26539,-72.595823,2021-01-08T13:16:00.0,SPECIES,ktowers,http://creativecommons.org/licenses/by-nc/4.0/legalcode,Animalia,Chordata,Mammalia,Carnivora,Canidae,Vulpes,Vulpes vulpes
3031718418,Vulpes vulpes,iNaturalist research-grade observations,US,CA,45.21605,-75.8595,2021-01-08T21:07:00.0,SPECIES,lindseyoee,http://creativecommons.org/licenses/by-nc/4.0/legalcode,Animalia,Chordata,Mammalia,Carnivora,Canidae,Vulpes,Vulpes vulpes
3031737893,Vulpes vulpes,iNaturalist research-grade observations,US,US,44.394225,-73.276897,2021-01-26T11:24:00.0,SPECIES,pfaucher,http://creativecommons.org/licenses/by-nc/4.0/legalcode,Animalia,Chordata,Mammalia,Carnivora,Canidae,Vulpes,Vulpes vulpes
3031764615,Vulpes vulpes,iNaturalist research-grade observations,US,CA,46.145538,-60.188795,2021-01-23T08:13:00.0,SPECIES,David McCorquodale,http://creativecommons.org/licenses/by/4.0/legalcode,Animalia,Chordata,Mammalia,Carnivora,Canidae,Vulpes,Vulpes vulpes
3031765713,Vulpes vulpes,iNaturalist research-grade observations,US,US,44.075211,-73.314103,2021-01-24T17:10:40.0,SPECIES,sdarmstadt,http://creativecommons.org/licenses/by-nc/4.0/legalcode,Animalia,Chordata,Mammalia,Carnivora,Canidae,Vulpes,Vulpes vulpes
3031771452,Vulpes vulpes,iNaturalist research-grade observations,US,CA,45.236941,-75.877016,2021-01-08T02:53:00.0,SPECIES,lindseyoee,http://creativecommons.org/licenses/by-nc/4.0/legalcode,Animalia,Chordata,Mammalia,Carnivora,Canidae,Vulpes,Vulpes vulpes
3031781121,Vulpes vulpes,iNaturalist research-grade observations,US,CA,46.265595,-64.56655,2021-01-13T12:40:58.0,SPECIES,Mannfred Boehm,http://creativecommons.org/licenses/by-nc/4.0/legalcode,Animalia,Chordata,Mammalia,Carnivora,Canidae,Vulpes,Vulpes vulpes
3031840869,Vulpes vulpes,iNaturalist research-grade observations,US,CA,45.420921,-74.029687,2021-01-23T14:48:00.0,SPECIES,karl-antoine,http://creativecommons.org/licenses/by-nc/4.0/legalcode,Animalia,Chordata,Mammalia,Carnivora,Canidae,Vulpes,Vulpes vulpes
3031876066,Vulpes vulpes,iNaturalist research-grade observations,US,CA,45.112012,-76.704431,2021-01-13T16:17:23.0,SPECIES,Rob Vanderkam,http://creativecommons.org/publicdomain/zero/1.0/legalcode,Animalia,Chordata,Mammalia,Carnivora,Canidae,Vulpes,Vulpes vulpes
3031883544,Vulpes vulpes,iNaturalist research-grade observations,US,CA,46.18049,-59.953062,2021-01-21T15:11:00.0,SPECIES,pleasantbaymac,http://creativecommons.org/licenses/by-nc/4.0/legalcode,Animalia,Chordata,Mammalia,Carnivora,Canidae,Vulpes,Vulpes vulpes
3031887520,Vulpes vulpes,iNaturalist research-grade observations,US,US,44.301425,-73.296845,2021-01-04T09:43:00.0,SPECIES,pfaucher,http://creativecommons.org/licenses/by-nc/4.0/legalcode,Animalia,Chordata,Mammalia,Carnivora,Canidae,Vulpes,Vulpes vulpes
3031903864,Vulpes vulpes,iNaturalist research-grade observations,US,CA,45.480107,-76.07669,2021-01-05T20:12:00.0,SPECIES,Jeffrey H. Skevington,http://creativecommons.org/licenses/by-nc/4.0/legalcode,Animalia,Chordata,Mammalia,Carnivora,Canidae,Vulpes,Vulpes vulpes
3031985191,Vulpes vulpes,iNaturalist research-grade observations,US,CA,44.226154,-76.579701,2021-01-17T21:23:00.0,SPECIES,Sharon David,http://creativecommons.org/licenses/by-nc/4.0/legalcode,Animalia,Chordata,Mammalia,Carnivora,Canidae,Vulpes,Vulpes vulpes
3031986674,Vulpes vulpes,iNaturalist research-grade observations,US,US,44.360468,-72.81184,2021-01-21T04:30:00.0,SPECIES,c_burns802,http://creativecommons.org/publicdomain/zero/1.0/legalcode,Animalia,Chordata,Mammalia,Carnivora,Canidae,Vulpes,Vulpes vulpes
