site,lon,lat,sp1,sp2,sp3,wc1,wc2,wc3,wc4,wc5,wc6,wc7,wc8,wc9,wc10,wc11,wc12,wc13,wc14,wc15,wc16,wc17,wc18,wc19,lc1,lc2,lc3,lc4,lc5,lc6,lc7,lc8,lc10,lc11,lc12,lc13,lc14
227609,-79.875,44.125,1,0,1,74.46333312988281,81.317779541015625,226.4844512939453,9530.6474609375,254.65554809570312,-104.3066635131836,358.9766540527344,201.76333618164062,-59.22666549682617,201.76333618164062,-59.377777099609375,819.2711181640625,83.5344467163086,50.148887634277344,13.25333309173584,243.85333251953125,158.2544403076172,243.85333251953125,158.2611083984375,12,0,5,0,0,22,0,12,26,19,0,40,4
227610,-79.875,44.375,1,0,0,73.07221984863281,79.09333038330078,221.34555053710938,9568.3173828125,251.84555053710938,-105.47110748291016,357.3033447265625,132.42333984375,-33.565555572509766,201.26889038085938,-61.315555572509766,878.33111572265625,85.56999969482422,55.83000183105469,12.767777442932129,252.6888885498047,174.96444702148438,247.11666870117188,184.17333984375,27,0,2,0,0,16,0,9,19,24,0,49,4
227611,-79.875,44.625,1,1,0,68.98999786376953,75.87889099121094,214.91221618652344,9559.265625,245.0755615234375,-107.95111083984375,353.0211181640625,-13.326666831970215,21.092222213745117,197.5933380126953,-65.15777587890625,956.9888916015625,99.334442138671875,61.67444610595703,15.254444122314453,290.6755676269531,185.66444396972656,243.6744384765625,221.78334045410156,26,0,2,0,0,15,0,8,18,24,0,49,4
227612,-79.875,44.875,1,1,0,67.731109619140625,73.426666259765625,208.42999267578125,9609.955078125,242.40110778808594,-109.83777618408203,352.25555419921875,-18.98444366455078,28.66666603088379,197.2711181640625,-67.16444396972656,958.95111083984375,105.80555725097656,61.387779235839844,17.463333129882812,305.6066589355469,184.84222412109375,224.56333923339844,233.71665954589844,27,0,0,0,0,0,0,0,0,15,0,56,4
227613,-79.875,45.125,1,1,0,63.258888244628906,73.44444274902344,206.09555053710938,9710.5244140625,238.76666259765625,-117.58000183105469,356.3566589355469,-46.246665954589844,24.622222900390625,193.67555236816406,-73.2699966430664,1068.2099609375,118.31444549560547,65.51667022705078,19.262222290039062,346.0133361816406,199.7655487060547,245.6888885498047,264.6755676269531,57,0,0,0,0,1,0,0,0,28,0,55,4
227614,-79.875,45.375,1,0,0,58.28111267089844,76.067779541015625,207.9344482421875,9890.94921875,237.3622283935547,-128.4277801513672,365.7611083984375,-60.32666778564453,8.472222328186035,189.87554931640625,-81.21778106689453,1074.0389404296875,112.67888641357422,67.00777435302734,17.93666648864746,336.4322204589844,206.1744384765625,250.26889038085938,262.3611145019531,63,0,0,0,0,1,0,0,0,32,0,56,4
227615,-79.875,45.625,1,0,0,54.30666732788086,79.81666564941406,211.227783203125,10121.607421875,238.36444091796875,-139.5322265625,377.8777770996094,14.16333293914795,-19.100000381469727,187.38333129882812,-88.93888854980469,1042.2689208984375,106.55333709716797,68.62000274658203,15.654444694519043,308.5199890136719,207.45889282226562,250.20333862304688,240.304443359375,65,0,0,0,0,0,0,0,0,32,0,55,4
227616,-79.875,45.875,1,1,0,52.186668395996094,83.21888732910156,213.50778198242188,10364.2421875,241.1911163330078,-148.5500030517578,389.7688903808594,120.8677749633789,-51.32222366333008,186.96221923828125,-94.7911148071289,1008.118896484375,106.09333038330078,64.19889068603516,14.569999694824219,301.2355651855469,200.25999450683594,256.6400146484375,215.5,64,0,0,0,0,1,0,0,0,31,0,55,4
227617,-79.875,46.125,1,0,0,51.88888931274414,85.5455551147461,213.92111206054688,10595.4130859375,245.09666442871094,-154.8733367919922,399.9677734375,153.1744384765625,-55.92444610595703,188.56443786621094,-98.5433349609375,936.01446533203125,100.16889190673828,56.470001220703125,14.716666221618652,285.4966735839844,182.20555114746094,251.73666381835938,187.9522247314453,50,0,0,0,0,0,0,0,0,24,0,55,4
227618,-79.875,46.375,1,0,0,49.302223205566406,87.02777862548828,213.85888671875,10768.501953125,245.34889221191406,-161.9566650390625,407.33221435546875,151.28555297851562,-59.62666702270508,187.2933349609375,-103.6844482421875,910.7066650390625,101.28888702392578,52.20111083984375,17.561111450195312,288.54779052734375,168.27444458007812,255.95555114746094,173.53111267089844,40,0,0,0,0,3,0,0,1,21,0,54,3
227619,-79.875,46.625,1,0,0,42.97666549682617,87.9977798461914,213.6155548095703,10871.35546875,240.74444580078125,-170.97999572753906,411.792236328125,145.28778076171875,-71.28111267089844,181.85667419433594,-111.41889190673828,916.2288818359375,104.19110870361328,52.49222183227539,18.899999618530273,298.6722106933594,168.27667236328125,261.7822265625,171.78778076171875,64,0,0,0,0,0,0,0,0,30,0,55,3
227620,-79.875,46.875,1,0,0,38.477779388427734,88.1866683959961,212.78111267089844,10972.1103515625,237.7288818359375,-177.80221557617188,415.51220703125,141.30111694335938,-74.34889221191406,178.62889099121094,-117.29444122314453,894.25775146484375,103.5522232055664,52.05666732788086,20.273332595825195,298.4155578613281,164.67666625976562,261.4344482421875,167.3866729736328,65,0,0,0,0,0,0,0,0,31,0,55,3
227621,-79.875,47.125,1,0,0,34.71555709838867,89,211.69778442382812,11064.634765625,235.07110595703125,-183.39999389648438,418.5088806152344,138.0833282470703,-79.45111083984375,176.02333068847656,-122.33999633789062,872.57666015625,102.80000305175781,50.32666778564453,22.481111526489258,297.0211181640625,157.77333068847656,265.6433410644531,160.80111694335938,64,0,0,0,0,0,0,0,0,31,0,55,3
227622,-79.875,47.375,1,0,0,32.56666564941406,89,210.24221801757812,11166.1484375,233.96444702148438,-187.5177764892578,421.49334716796875,136.6266632080078,-118.86000061035156,175.06333923339844,-125.89444732666016,840.1966552734375,97.15888977050781,46.996665954589844,23.572221755981445,282.23779296875,150.02444458007812,267.9488830566406,150.24777221679688,65,0,0,0,0,0,0,0,0,31,0,55,3
227623,-79.875,47.625,1,0,0,33,88.9655532836914,208.27000427246094,11294.0888671875,235.7111053466797,-189.3800048828125,425.16778564453125,142.8255615234375,-126.92888641357422,177.01889038085938,-127.25555419921875,771.98223876953125,87.61444091796875,42.12111282348633,23.623332977294922,254.39666748046875,135.60556030273438,250.5577850341797,135.6122283935547,35,0,0,0,0,27,0,0,10,25,0,50,3
227624,-79.875,47.875,1,0,0,30.551111221313477,88,206.96444702148438,11382.4423828125,234.0822296142578,-193.37222290039062,427.47332763671875,140.15333557128906,-78.986663818359375,175.54666137695312,-130.97222900390625,791.8155517578125,90.06666564941406,44.130001068115234,23.345556259155273,261.8511047363281,140.9199981689453,254.5577850341797,143.2355499267578,54,0,0,0,0,10,0,0,4,29,0,54,3
227625,-79.875,48.125,1,0,0,24.408889770507812,88,206.24667358398438,11421.5390625,228.0800018310547,-200.2388916015625,428.31109619140625,130.38333129882812,-84.90110778808594,169.75778198242188,-137.6999969482422,826.39666748046875,94.160003662109375,45.93000030517578,23.02777862548828,275.0177917480469,147.99777221679688,260.7322082519531,150.30332946777344,65,0,0,0,0,0,0,0,0,31,0,55,3
227626,-79.875,48.375,1,0,0,21.065555572509766,88,205.12445068359375,11502.740234375,225.54666137695312,-204.836669921875,430.40887451171875,127.72777557373047,-103.86000061035156,167.30667114257812,-142.28111267089844,827.37335205078125,94.52777862548828,44.72888946533203,23.786666870117188,277.118896484375,144.8633270263672,262.8511047363281,146.1888885498047,67,0,0,0,0,0,0,0,0,31,0,55,3
227627,-79.875,48.625,1,0,0,20.47888946533203,88.0888900756836,203.55332946777344,11634.8369140625,226.81333923339844,-207.41000366210938,434.2099914550781,128.3222198486328,-143.79444885253906,168.3300018310547,-144.80332946777344,798.52886962890625,92.127777099609375,41.17222213745117,25.536666870117188,270.336669921875,134.59889221191406,258.8466796875,134.61666870117188,46,0,0,0,0,0,0,0,0,22,0,55,3
227629,-79.875,49.125,1,0,0,12.86111068725586,89.073333740234375,202.32888793945312,11861.7646484375,223.52333068847656,-217.63221740722656,441.17889404296875,122.83000183105469,-153.8522186279297,163.64666748046875,-155.7566680908203,826.83111572265625,98.80000305175781,38.28888702392578,29.544445037841797,290.1155700683594,128.39332580566406,278.272216796875,128.42111206054688,68,0,0,0,0,0,0,0,0,31,0,53,2
227630,-79.875,49.375,1,0,0,11.498888969421387,90,201.2433319091797,12022.1240234375,225.39443969726562,-220.7677764892578,446.1388854980469,123.11000061035156,-159.44888305664062,164.48333740234375,-159.44888305664062,795.46112060546875,95.3066635131836,35.63666534423828,30.71555519104004,280.8833312988281,120.80777740478516,270.85888671875,120.80777740478516,67,0,0,0,0,0,0,0,0,31,0,55,2
227632,-79.875,49.875,1,0,0,4.641110897064209,90,199.3300018310547,12240.27734375,223.15333557128906,-229.1366729736328,452.2633361816406,127.39221954345703,-169.64222717285156,160.36444091796875,-169.64222717285156,785.26885986328125,93.834442138671875,34.13666534423828,32.45888900756836,280.51220703125,117.46778106689453,271.1544494628906,117.46778106689453,98,0,0,0,0,0,0,0,0,0,0,30,1
227633,-79.875,50.125,1,0,0,2.886666774749756,90,197.70777893066406,12336.4453125,223.2111053466797,-231.3977813720703,454.58221435546875,157.91555786132812,-173.06443786621094,159.59555053710938,-173.06443786621094,765.0888671875,92.53333282470703,33.34000015258789,32.79999923706055,275.3999938964844,114.9977798461914,264.1844482421875,114.9977798461914,96,0,0,0,0,0,0,0,0,0,0,30,1
227637,-79.875,51.125,1,0,0,1.2445415258407593,80.79912567138672,185.1470184326172,12096.833984375,209.52401733398438,-226.74526977539062,436.3202209472656,153.58660888671875,-176.05967712402344,153.58660888671875,-176.05967712402344,640.0989990234375,80.57496643066406,29.347888946533203,32.302764892578125,232.42503356933594,99.97088623046875,232.42503356933594,99.97088623046875,73,0,0,0,0,0,0,0,0,0,0,29,1
228177,-79.625,44.125,1,0,0,74.42555236816406,81.99888610839844,227.2611083984375,9574.8037109375,255.70555114746094,-105.55555725097656,361.2755432128906,202.03111267089844,-59.650001525878906,202.1022186279297,-60.02888870239258,832.80780029296875,86.3499984741211,49.720001220703125,14.523333549499512,251.9822235107422,157.06222534179688,251.97999572753906,157.07666015625,10,0,4,0,0,19,0,12,25,18,0,41,4
228178,-79.625,44.375,1,0,0,70.682220458984375,81.41222381591797,224.79666137695312,9638.5673828125,251.78334045410156,-110.38999938964844,362.15667724609375,168.35888671875,-42.516666412353516,199.09889221191406,-64.83222198486328,873.497802734375,85.75555419921875,54.272220611572266,13.202221870422363,252.50555419921875,171.63555908203125,245.84889221191406,178.81666564941406,15,0,0,0,4,13,0,8,17,17,0,50,4
228179,-79.625,44.625,1,0,1,67.03333282470703,79.913330078125,221.03778076171875,9685.9921875,247.21221923828125,-114.33999633789062,361.554443359375,-10.436666488647461,-11.550000190734863,196.08444213867188,-69.236663818359375,926.67108154296875,91.83777618408203,60.477779388427734,13.422222137451172,270.29779052734375,184.5255584716797,238.44888305664062,208.4277801513672,35,0,1,0,0,12,0,7,15,26,0,52,4
228180,-79.625,44.875,1,1,0,66.768890380859375,78.73222351074219,216.4600067138672,9783.814453125,246.85777282714844,-116.82111358642578,363.6766662597656,-17.447778701782227,29.384445190429688,196.97332763671875,-71.0522232055664,987.0777587890625,105.04666900634766,61.73555374145508,16.59666633605957,306.5466613769531,186.38888549804688,237.48333740234375,231.47332763671875,55,0,0,0,0,2,0,0,2,28,0,56,4
228181,-79.625,45.125,1,1,0,61.77555465698242,78.8822250366211,214.47999572753906,9883.9111328125,242.75555419921875,-124.94666290283203,367.7611083984375,-23.47888946533203,24.70111083984375,192.85110473632812,-77.65888977050781,1018.1366577148438,108.3133316040039,64.33222198486328,17.061111450195312,318.67999267578125,193.96665954589844,240.3977813720703,243.17555236816406,42,0,0,0,0,1,0,0,0,22,0,55,4
